s_m,x_m,y_m,target_speed_mps,mission,direction,fsm_zone,fsm_event_ids,fsm_actions,fsm_conditions,fsm_hold_sec,direction_source
0.0000,0.8104,-0.1728,0.300,PERP_PARK,1,T_PARK,T_PARK_START,ENTER_ZONE,,0.000,PREVIEW_DEFAULT
0.0840,0.7292,-0.1509,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
0.1840,0.6335,-0.1221,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
0.2840,0.5387,-0.0903,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
0.3839,0.4449,-0.0558,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
0.4839,0.3519,-0.0189,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
0.5839,0.2600,0.0202,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
0.6839,0.1689,0.0615,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
0.7838,0.0788,0.1047,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
0.8839,-0.0106,0.1496,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
0.9839,-0.0991,0.1961,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.0838,-0.1868,0.2440,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.1838,-0.2739,0.2931,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.2838,-0.3604,0.3434,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.3838,-0.4462,0.3947,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.4838,-0.5314,0.4469,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.5838,-0.6162,0.4999,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.6837,-0.7006,0.5537,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.7836,-0.7845,0.6079,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.8837,-0.8681,0.6628,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
1.9837,-0.9514,0.7182,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.0836,-1.0343,0.7739,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.1836,-1.1170,0.8301,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.2836,-1.1996,0.8865,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.3836,-1.2819,0.9432,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.4836,-1.3641,1.0002,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.5835,-1.4461,1.0573,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.6836,-1.5281,1.1147,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.7836,-1.6099,1.1721,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.8835,-1.6916,1.2298,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
2.9834,-1.7732,1.2874,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.0835,-1.8549,1.3452,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.1835,-1.9364,1.4032,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.2834,-2.0178,1.4610,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.3835,-2.0993,1.5191,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.4834,-2.1808,1.5771,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.5834,-2.2622,1.6351,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.6834,-2.3436,1.6931,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.7834,-2.4250,1.7512,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.8833,-2.5064,1.8092,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
3.9833,-2.5878,1.8672,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.0833,-2.6693,1.9252,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.1833,-2.7507,1.9832,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.2833,-2.8322,2.0411,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.3833,-2.9138,2.0989,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.4832,-2.9953,2.1567,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.5832,-3.0769,2.2146,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.6832,-3.1586,2.2723,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.7832,-3.2403,2.3299,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.8831,-3.3220,2.3875,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
4.9832,-3.4038,2.4451,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.0831,-3.4857,2.5024,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.1831,-3.5675,2.5598,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.2831,-3.6495,2.6171,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.3831,-3.7314,2.6744,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.4831,-3.8135,2.7315,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.5830,-3.8955,2.7886,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.6830,-3.9777,2.8456,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.7830,-4.0598,2.9026,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.8830,-4.1421,2.9594,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
5.9830,-4.2244,3.0163,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.0830,-4.3067,3.0730,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.1829,-4.3890,3.1297,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.2829,-4.4715,3.1863,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.3829,-4.5539,3.2429,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.4829,-4.6364,3.2993,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.5828,-4.7189,3.3557,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.6828,-4.8015,3.4121,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.7828,-4.8841,3.4685,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.8828,-4.9667,3.5248,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
6.9828,-5.0494,3.5810,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.0827,-5.1321,3.6371,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.1827,-5.2148,3.6933,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.2827,-5.2976,3.7494,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.3827,-5.3804,3.8055,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.4828,-5.4632,3.8615,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.5827,-5.5460,3.9175,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.6827,-5.6290,3.9733,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.7827,-5.7119,4.0293,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.8827,-5.7948,4.0852,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
7.9826,-5.8777,4.1409,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.0826,-5.9606,4.1968,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.1826,-6.0437,4.2526,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.2825,-6.1266,4.3083,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.3826,-6.2097,4.3641,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.4826,-6.2927,4.4198,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.5825,-6.3757,4.4754,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.6825,-6.4587,4.5311,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.7825,-6.5418,4.5867,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.8824,-6.6249,4.6423,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
8.9824,-6.7080,4.6980,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.0824,-6.7910,4.7536,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.1825,-6.8742,4.8093,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.2824,-6.9573,4.8648,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.3824,-7.0404,4.9204,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.4823,-7.1235,4.9760,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.5824,-7.2067,5.0315,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.6823,-7.2898,5.0871,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.7823,-7.3729,5.1426,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.8823,-7.4561,5.1982,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
9.9823,-7.5392,5.2537,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.0822,-7.6222,5.3093,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.1823,-7.7054,5.3649,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.2822,-7.7885,5.4204,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.3822,-7.8716,5.4760,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.4822,-7.9547,5.5316,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.5822,-8.0379,5.5872,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.6822,-8.1209,5.6428,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.7822,-8.2040,5.6985,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.8822,-8.2871,5.7541,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
10.9821,-8.3700,5.8098,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.0821,-8.4531,5.8655,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.1821,-8.5362,5.9212,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.2820,-8.6191,5.9770,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.3820,-8.7022,6.0327,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.4820,-8.7851,6.0884,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.5821,-8.8681,6.1443,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.6820,-8.9510,6.2001,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.7820,-9.0340,6.2560,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.8820,-9.1169,6.3119,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
11.9819,-9.1997,6.3679,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.0820,-9.2826,6.4239,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.1819,-9.3654,6.4798,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.2819,-9.4481,6.5358,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.3819,-9.5309,6.5920,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.4819,-9.6136,6.6481,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.5819,-9.6964,6.7043,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.6818,-9.7790,6.7605,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.7819,-9.8617,6.8168,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.8818,-9.9443,6.8731,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
12.9817,-10.0269,6.9294,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.0818,-10.1094,6.9859,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.1817,-10.1919,7.0423,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.2817,-10.2744,7.0989,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.3817,-10.3568,7.1555,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.4817,-10.4393,7.2121,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.5817,-10.5216,7.2688,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.6817,-10.6039,7.3256,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.7816,-10.6862,7.3823,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.8816,-10.7683,7.4393,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
13.9816,-10.8506,7.4962,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.0816,-10.9327,7.5532,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.1816,-11.0148,7.6104,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.2815,-11.0968,7.6675,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.3816,-11.1788,7.7248,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.4816,-11.2608,7.7821,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.5815,-11.3426,7.8394,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.6815,-11.4245,7.8969,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.7815,-11.5062,7.9544,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.8815,-11.5879,8.0121,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
14.9815,-11.6695,8.0698,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.0814,-11.7511,8.1275,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.1814,-11.8326,8.1855,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.2814,-11.9141,8.2435,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.3814,-11.9954,8.3015,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.4814,-12.0768,8.3596,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.5813,-12.1581,8.4179,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.6813,-12.2392,8.4763,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.7813,-12.3203,8.5348,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.8813,-12.4014,8.5933,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
15.9813,-12.4823,8.6520,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.0813,-12.5633,8.7107,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.1812,-12.6441,8.7696,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.2812,-12.7247,8.8286,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.3812,-12.8054,8.8877,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.4812,-12.8860,8.9469,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.5812,-12.9665,9.0062,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.6811,-13.0469,9.0656,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.7812,-13.1272,9.1252,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.8811,-13.2074,9.1849,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
16.9811,-13.2875,9.2446,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.0811,-13.3676,9.3046,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.1811,-13.4476,9.3645,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.2810,-13.5275,9.4246,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.3810,-13.6073,9.4848,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.4810,-13.6871,9.5451,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.5810,-13.7668,9.6055,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.6810,-13.8464,9.6659,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.7810,-13.9261,9.7265,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.8810,-14.0055,9.7871,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
17.9809,-14.0850,9.8477,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
18.0809,-14.1645,9.9085,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
18.1809,-14.2438,9.9693,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
18.2809,-14.3233,10.0300,0.300,PERP_PARK,1,T_PARK,,,,0.000,PREVIEW_DEFAULT
